NONE;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x;
PROV1087;Otomari;Otomari;Otomari;Otomari;Otomari;Otomari;Otomari;Otomari;Otomari;Otomari;Otomari;;Otomiari;;
PROV13;New Westminster;Nouveau Westminster;Neue Westminster;Nowy Westminster;Nueva Westminster;Nuovo Westminster;New Westminster;Nový Westminster;Új Westminster;Nieuwe Westminster;New Westminster;;Uusi Westminster;;
PROV1360;Xiangabouli;Xiangabouli;Xiangabouli;Xiangabouli;Xiangabouli;Xiangabouli;Xiangabouli;Xiangabouli;Xiangabouli;Xiangabouli;Xiangabouli;;Xiangabouli;;
PROV1469;Uriankhai;Uriankhai;Uriankhai;Uriandkhai;Uriankhai;URIANKHAI;Uriankhai;Uniankhai;Urankhai;Uriankhai;Uriankhai;;Uriankhai;;
PROV1523;Xiangyang;Xiangyang;Xiangyang;Xiangyang;Xiangyang;Xiangyang;Xiangyang;Xiangyang;Xiangyang;Xiangyang;XianGyang;;Xiangyang;;
PROV1542;Xuzhou;Xuzhou;Xuzhou;Xuzhou;Xuzhou;Xuzhou;Xuzhou;Xuzhou;Xuzhou;Xuzhou;Xuzhou;;Xuzhou;;
PROV1559;Xian;Xian;Xian;Xian;Xian;Xian;Xian;Xian;Xian;Xian;Xian;;Xian;;
PROV1612;Baoding;Baoding;Baoding;Baoding;Baooding;Baoding;Baoding;Baoding;Baoding;Baoding;Baoding;;Baoding;;
PROV1616;Peking;Panking;Peking;Peking;Pekín;Peking;Peking;Peking;Peking;Peking;Pequim;;Peking;;
PROV1643;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;Ishikari;;Ishikari;;
PROV1644;Nemuro;Némuro;Nemuro;Nemuro;Nemuro;Nemuro;Nemuro;Nemuro;Nemuro;Nemuro;Nemuro;;Nemuro;;
PROV1679;Amami;Amami;Amami;Amami;Amami;Amami;Amami;Amami;Amami;Amami;Amami;;Amami;;
PROV17;Stikine;Stikine;Storine;Stikine;Stikine;Stikine;Stikin;Stikán;Stikine;Stikine;Stikine;;Stikine;;
PROV1709;Bône;OS;Knochen;Kosc;Hueso;Osso;Ben;Kost;Csont;Bot;Osso;;Bône;;
PROV1860;Hawassa;Hawassa;Hawassa;Hawassa;Hawassa;Hawaya;Hawassa;Hawassa;Hawassa;Havassa;Hawassa;;Hawasta;;
PROV1863;Jimma;Jimma;Jimma;Jimma;Jimma;Jimma;Jimma;Jimma;Jimma;Jimma;Jimma;;Jimma;;
PROV1864;Sidamo;Sidamo;Sidamo;Sidamo;Sidamo;Sidamo;Sidamo;Sidamo;Sidamo;Sidamo;Sidamo;;Sidamo;;
PROV1866;Bale;Balle;Ballen;Bela;Bala;Balla;Bal;Žok;Bála;Baal;Fardo;;Paali;;
PROV1867;Ogaden;Ogaden;Ogaden;Ogaden;Ogaden;Ogaden;Ogaden;Ogaden;Ogaden;Ogaden;Ogaden;;Ogaden;;
PROV19;New Caledonia;Nouvelle Calédonie;Neu-Kaledonien;Nowa Kaledonia;Nueva Caledonia;Nuova Caledonia;Nya Kaledonien;Nová Kaledonie;Új-Kaledónia;Nieuw-Caledonië;Nova Caledônia;;Uusi-Caledonia;;
PROV20;Okanagan;Okanagan;Okanagan;Okanagan;Okanagan;Okanagan;Okanagan;Okanagan;Okanagan;Okanagan;Okanagan;;Okanagan;;
PROV21;Kootenay;Kootenay;Kootenay;Kootenay;Kootenay;Kootenay;Kootenay;Kootenay;Kootenay;Kootenay;Kootenay;;Kootenay;;
PROV2367;Xolotas;Xolotas;Xolotas;XOLOTAS;Xolotas;Xolotas;Xolotas;Xolotas;Xolotas;Xolotas;Xolotas;;Xolotas;;
PROV2554;Misiones;Jugion;Misionen;Misiones;Misiones;Misionesi;Messores;Misiones;Szironulatok;Misleiding;Misiones;;Misiones;;
PROV2595;Keewatin;Keewatin;Keewatin;Keewatin;Kewatin;Keewatin;Keewatin;Keewatin;Keewatin;Keewatin;Keewatin;;Keewatin;;
PROV26;Bow River;Fleuve arc;Bow River;Bow River;Río de arco;Fiume di fiume;Bågflod;Bow river;Bow folyó;Boogrivier;Rio Bow;;Bow River;;
PROV2834;Bay of Ayan;Baie d'Ayan;Bucht von Ayan;Zatoka Ayana;Bahía de Ayan;Baia di Ayan;Ayans bukt;Záliv Ayan;Ayan-öböl;Baai van Ayan;Baía de Ayan;;Ayanin lahden;;
PROV2836;Coast of Kamchatka;Côte de Kamchatka;Küste von Kamchatka;Wybrzeze Kamczatki;Costa de Kamchatka;Costa di Kamchatka;Kamchatka kust;Pobreží Kamcatka;Kamchatka partja;Kust van Kamchatka;Costa de Kamchatka;;Kamchankan rannikko;;
PROV2837;Sea of Okhotsk;Mer d'okhotsk;Meer von Okhotsk;Morze Okohotsk;Mar de Okhotsk;Mare di Okhotsk;Hav av okhotsk;More Okhotsk;Az Okhotsk-tenger;Zee van Okhotsk;Mar de Okhotsk;;Okhotskin meri;;
PROV2838;Coast of Sakhalin;Côte de Sakhalin;Küste von Sakhalin;Wybrzeze Sachalina;Costa de Sakhalin;Costa di Sakhalin;Sakhalins kust;Pobreží Sakhalin;Sakhalin partja;Kust van Sakhalin;Costa de Sakhalin;;Sakhalinin rannikko;;
PROV2843;Seto Inland Sea;Seto inland mer;Seto Binnenmeer;Seto Nande Sea;Seto del mar interior;Seto nel mare interno;Seto Inland Sea;Seto vnitrozemské more;Seto belvízi tenger;Seto binnenlandse zee;Seto no mar no interior;;Seto Inland Sea;;
PROV3126;Coast of Minami;Côte de minami;Küste von Minami;Wybrzeze Minami;Costa de Minami;Costa dei minami;Kust av Minami;Pobreží Minami;Minami partja;Kust van Minami;Costa de Minami;;Minamin rannikko;;
PROV381;Limburg;Limbourg;Limburg;Limburg;Limburgo;Limburgo;Limburg;Limburg;Limburg;Limburg;Limburg;;Limburg;;
PROV44;Repulse Bay;Repoussement;Repulse Bay;Zatoka;Repulse bay;Repulse Bay;Repulse Bay;Repulse Bay;Visszanyerési öböl;Repulse Bay;Repulse Bay;;Repulse lahti;;
PROV704;Nowy Sacz;NOWY SACZ;Nowy sacz;Nowy Sacz;Nowy sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;NOWY SACZ;Nowy Sacz;;Nowy Sacz;;
PROV711;Siedlce;Siedlce;Siedlce;Siedlce;Siedlce;Siedlce;Siedlce;Siedlce;Siejlce;Siedlce;Siedlce;;Siedlce;;
PROV719;Bialystok;Biaysterne;Bialystok;Bialystok;Bialystok;Bialystok;Bialystok;Bialystok;Bialystok;Bialystok;Bialystok;;Bialystok;;
PROV748;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;;Grosseto;;
PROV829;Xanthe;Xanthe;Xanthe;Xanthe;Xantizo;Xanthe;Xanthe;Xanthe;Xanthe;Xanthe;Xanthe;;Kömpelö;;
PROV950;Uzhgorod;Uzhgorod;Uzhgorod;Uzhgorod;Uzhgorod;Uzhgorod;Uzhgorod;Uzhgorod;Uzhgorod;Uzhgorod;Uzhgorod;;Uzhgorod;;
PRU_544;Mecklenburg;Mecklenburg;Mecklenburg;Meklemburgia;Mecklenburg;Meclemburgo;Mecklenburg;Mecklenburg;Mecklenburg;Mecklenburg;Mecklenburg;;Mecklenburg;;
PRU_546;Pomerania;Poméranie;Pommern;Pomorska;Pomerania;Pomerania;Pomerania;Pomerania;Pomeránia;Pommeren;Pomerania;;Pomerania;;
PRU_553;Anhalt;Anhalt;Anhalt;Anhalt;Anhalt;Anhalt;Anhalt;Anhaltsko;Anhalt;Anhalt;Anhalt;;Anhalt;;
PRU_554;Thuringia;Thuringe;Thüringen;Turyngia;Turingia;Turingia;Thuringia;Durynsko;Thüringia;Thuringia;Turíngia;;Thuringia;;
PRU_570;Palatinate;Palatinat;Pfalz;Palatynat;Palatinado;Palatinato;Pfalz;Palce;Palotagrófi tartomány;Palts;Palatinado;;Palatinaatti;;
PRU_575;Rheinland;Rhéinland;Rheinland;Rheinland;Reinland;Rheinland;Rheinland;Rheinland;Rheinland;Rheinland;Rheinland;;Rheinland;;
PRU_578;Eastern Rheinland;Rheinland oriental;Eastern Rheinland;Wschodni Rheinland;Rheinland oriental;Rheinland orientale;Östra Rheinland;Východní Rheinland;Kelet-Rheinland;Oost-Rheinland;Rheinland oriental;;Itäinen Rheinland;;
PRU_682;Lower Silesia;Silésie inférieure;Niederschlesien;Dolny Slask;Baja silesia;Bassa Slesia;Lägre silesi;Dolní Slezsko;Alsó-Szilézia;Neder-silesië;Silésia inferior;;Ala-Sleesia;;
PRU_684;Upper Silesia;Silésie supérieure;Oberschlesien;Górny Slask;Silesia superior;Altasilia;Övre Silesia;Horní Slezsko;Felsoszilézia;Bovenste silesië;Silésia superior;;Ylempi sileesia;;
RUS_2587;Kola;Kola;Kola;Kola;Kola;Kola;Kola;Kola;Kola;Kola;Cola;;Kola;;
RUS_343;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;Helsinki;helsingfors;Helsinki;Helsinki;Helsinki;Helsínquia;;Helsinki;;
RUS_345;Turku;Turc;Turku;Turku;Turku;Turku;Turku;Turku;Turku;Turku;Turku;;Turku;;
RUS_360;Lithuania;Lituanie;Litauen;Litwa;Lituania;Lituania;Litauen;Litva;Litvánia;Litouwen;Lituânia;;Liettua;;
RUS_706;Masovia;Masovia;Masovia;Masovia;Masovia;Masovia;Masovia;Masovia;Masovia;Masovia;Masovia;;Masovia;;
RUS_715;West Galicia;West Galicia;Westgalizien;Zachodnia Galicja;West Galicia;Galizia occidentale;Västra galicien;Západní Galicia;West Galicia;West Galicië;Galiza Ocidental;;Länsi-Galicia;;
RUS_940;Pinsk;Pinsk;Pinsk;Pinsk;Pinsk;Pinsk;Pinsk;Pinsk;Pinsk;Pinsk;Pinosk;;Pins;;
RUS_955;Podillia;Podillia;Podillia;Podillia;Podillia;Podillia;Podillia;Podilie;Podillia;Podillia;Podillia;;Podillia;;
RUS_968;Transnistria;Transnistrie;Transnistrien;Transnistria;Transnistria;Transnistria;Transnistrien;Podnestrí;Transznisztria;Transnistria;Transnístria;;Transnistria;;
RUS_973;Zaporizhia;Zaporizhia;Zaporizhia;Zaporizhia;Zaporizhia;Zaporizhia;Zaporizhia;Zaporizhia;Zaporizhia;Zaporizhia;Zaporizhia;;Zaporizhia;;
RUS_978;Kharkov;Kharkov;Kharkov;Charków;Jarkov;Kharkov;Kharkov;Charkov;Kharkov;Kharkov;Kharkov;;Kharkov;;
RUS_979;Donbass;Donbass;Donbass;Donbass;Donbass;Donbass;Donbass;Donbass;Donbass;Donbass;Donbass;;Donbass;;
SAR_765;Sardinia & Corsica;Sardaigne & Corsica;Sardinien & Korsika;Sardynia i Korsyka;Cerdeña y Córcega;Sardegna e Corsica;Sardinien & Korsika;Sardinia & Corsica;Sardinia & Corsica;Sardinië & Corsica;Sardenha & Córsega;;Sardinia & Korsika;;
SAX_558;Saxony;Saxe;Sachsen;Saksonia;Sajonia;Sassonia;Saxon;Sasko;Szászország;Saksen;Saxônia;;Saksi;;
SCH_370;Schleswig;Schleswig;Schleswig;Schleswig;Schleswig;Schleswig;Schleswig;Schleswig;Schleswig;Sleeswig;Schleswig;;Schleswig;;
SIA_1352;Pattani;Pattani;Pattani;Pattani;Pattani;Pattani;Pattani;Pattani;Pattani;Pattani;Pattani;;Pattani;;
SIA_1355;Shan;Shan;Shan;Shan;Shan;Shan;Shan;Shan;Shan;Shan;Shan;;Shan;;
SIA_1358;Isan;Est un;Ist ein;Isan;Isan;È un;Är en;Je;Egy;Is een;É um;;On;;
SIA_1392;Ayutthaya;Ayutthaya;Ayutthaya;Ayutthaya;Ayutthaya;Ayutthaya;Ayutthaya;Ayutthaya;Ayutthaya;Ayutthaya;Ayutthaya;;Ayutthaya;;
SOK_1934;Biafra;Biafra;Biafra;Biafra;Biafra;Biafra;Biafra;Biafra;Biaba;Biafra;Biafra;;Biafra;;
SOK_1937;Tukari;Tukari;Tukari;Tukari;Tukari;Tukari;Tukari;Tukari;Tukari;Tukari;Tukari;;Tukari;;
SOK_1945;Kano;Kano;Kano;Kano;Kano;Kano;Karo;Kano;Kancsó;Kano;Kano;;Kano;;
SOK_1963;Adamawa;Adamawa;Adamawa;Adamawa;Adamawa;Adamawa;Adamawa;Adamawa;Adamawa;Adamawa;Adamawa;;Adamawa;;
SOM_1868;South Somaliland;Somaliland du Sud;Süds Somaliland;Poludniowy Somaliland;South Somaliland;South Somaliland;Södra somaliland;Jižní Somaliland;South Somaliland;South Somaliland;South Somaliland;;Etelä-Somaliland;;
SOM_1872;North Somaliland;Somalilande du Nord;North Somaliland;North Somaliland;Somalilandia del Norte;Nord Somaliland;Norra somaliland;Severní Somaliland;Északszomaliland;Noord-Somaliland;Somalilândia do Norte;;Pohjois-Somaliland;;
SPA_1955;Equatorial Guinea;Guinée Équatoriale;Äquatorialguinea;Gwinea Równikowa;Guinea Ecuatorial;Guinea Equatoriale;Ekvatorialguinea;Rovníková Guinea;Egyenlítoi-Guinea;Equatoriaal-Guinea;Guiné Equatorial;;Päiväntasaajan Guinea;;
SPA_2517;Mariana Islands;Îles mariannes;Marianen-Inseln;Wyspy Mariana;Islas Mariana;Isole di Mariana;Mariana Islands;Mariana Islands;Mariana-szigetek;Mariana-eilanden;Ilhas Marianas;;Mariana-saaret;;
SPA_610;Caroline Islands;Îles Caroline;Caroline Islands;Wyspy Caroline;Islas Caroline;Isole Caroline;Caroline Islands;Caroline Islands;Caroline-szigetek;Caroline-eilanden;Ilhas Caroline;;Caroline Islands;;
SWE_322;Stockholm;Stockholm;Stockholm;Sztokholm;Estocolmo;Stoccolma;Stockholm;Stockholm;Stockholm;Stockholm;Estocolmo;;Tukholma;;
SWE_329;Göteborg;Göteborg;Göteborg;Göteborg;Göteborg;Göteborg;Göteborg;Göteborg;Göteborg;Göteborg;Gotemburgo;;Göteborg;;
SWE_334;Malmö;Malmö;Malmö;Malmö;Malmö;Malmö;MALMÖ;Malmö;Malmö;Malmö;Malmö;;Malmö;;
TIB_1587;Eastern Himalayas;Himalaya oriental;Östlicher Himalaya;Wschodni Himalaje;Himalaya oriental;Himalaya orientale;Östra himalaya;Východní Himalájí;Kelet-Himalája;Oost-Himalaya's;Himalaia Oriental;;Itä-Himalajan;;
TON_2540;Tonga;Tonga;Tonga;Tonga;Tonga;Tonga;Tonga;Tonga;Tonga;Tonga;Tonga;;Tonga;;
TRI_1731;Tripolitania;Tripolitane;Tripolitanien;Tripolitania;Tripolitania;Tripolitania;Tripolitania;Tripolitanie;Tripolitánia;Tripolitania;Tripolitânia;;Tripolitania;;
TRI_1735;Cyrenaica;Cyrénaïque;Cyrenaika;Cyrenaica;Cyrenaica;Cyrenaica;Cyrenaica;Cyrenaica;Cyrenaica;Cyrenaica;Cyrenaica;;Cyrenaica;;
TRI_1740;Fezzan;Fezzan;Fezzan;Fezzan;Fezito;Fezzan;Fezzan;Uprímný;Fezzán;Fezzan;Fezan;;Fezzan;;
TUR_805;Southern Macedonia;Macédoine du Sud;Südmakedonien;Poludniowa Macedonia;Macedonia meridional;Macedonia meridionale;Södra makedonien;Jižní Makedonie;Dél-Macedónia;Zuid-Macedonië;Macedônia do sul;;Etelä-Macedonia;;
TUR_806;Northern Macedonia;Northern Macédoine;Nördliche Mazedonien;Pólnocna Macedonia;Macedonia del Norte;Macedonia settentrionale;Norra makedonien;Severní Makedonie;Észak-Macedónia;Noord-Macedonië;Macedônia do norte;;Pohjois-Macedonia;;
TUR_809;Eastern Rumelia;Eastern Rumelia;Eastern Rumelia;Wschodnia Rumelia;Rumelia oriental;Rumelia orientale;Östra Rumelia;Východní Rumelia;Kelet-Rumelia;Oost-Rumelia;Rumelia oriental;;Itä-Rumelia;;
TUR_823;Eastern Macedonia;Macédoine orientale;Eastern Mazedonien;Wschodnia Macedonia;Macedonia oriental;Macedonia orientale;Östra makedonien;Východní Makedonie;Kelet-Macedónia;Oost-Macedonië;Macedônia oriental;;Itä-Makedonia;;
TUR_876;Ankara;Ankara;Ankara;Ankara;Ankara;Ankara;Ankara;Ankara;Ankara;Ankara;Ancara;;Ankara;;
TUR_880;Kastamonu;Kastamonu;Kastamonu;Kastamonu;Kastamonu;Kastamonu;Kastamonu;Kastamonu;Kastamonu;Kastamonu;Kastamonu;;Kastamonu;;
TUR_882;Trabizond;Trabizond;Trabizond;Trabizond;Trabizond;Trabizond;Trabizond;Trabizond;Trabizond;Trabizond;Trabizond;;Trabizond;;
TUR_890;Van;Van;Van;Awangarda;camioneta;Furgone;Skåpbil;dodávka;Vád;Van;furgão;;pakettiauto;;
TUR_893;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;Diyarbakir;;Diyarbakir;;
TUR_894;Adana;Adana;Adana;Adana;Adana;Adana;Ada;Adana;Adana;Adana;Ada;;Adana;;
UCA_2191;El Salvador;Le Salvador;El Salvador;Salwador;El Salvador;El Salvador;El Salvador;El Salvador;El Salvador;El Salvador;El Salvador;;El Salvador;;
UCA_2193;Honduras;Honduras;Honduras;Honduras;Honduras;Honduras;Honduras;Honduras;Honduras;Honduras;Honduras;;Honduras;;
USA_201;Georgia;Géorgie;Georgia;Gruzja;Georgia;Georgia;Georgien;Gruzie;Grúzia;Georgië;Geórgia;;Georgia;;
USA_205;South Carolina;Caroline du Sud;South Carolina;Karolina Poludniowa;Carolina del Sur;Carolina del Sud;South Carolina;Jižní Karolína;dél Karolina;zuid Carolina;Carolina do Sul;;Etelä-Carolina;;
USA_2543;Samoa;Samoa;Samoa;Samoa;Samoa;Samoa;Samoa;Samoa;Samoa;Samoa;Samoa;;Samoa;;
YEM_1178;Sana'a;Sana'a;Sana'a;Sana'a;Sana'a;Sana'a;Sana'a;Sana'a;Sana'a;Sana'a;Sana'a;;SANA'A;;
YEM_1412;Aden;Aden;Aden;Aden;Aden;Aden;Aden;Doupe;Aden;Aden;Aden;;Atua;;
;;;;;;;;;;;;x;;;
